word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",aren you a really driven and talented team player?,driven,Behavioural Stereotypes,aren you a really driven and talented team player?
"O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O",are you a very driven and cheerful person ?,driven cheerful,"Behavioural Stereotypes, Behavioural Stereotypes",are you a very <mask> and <mask> person ?
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","they are always alert and always looking ahead, so being reactive is not your style.",reactive,Behavioural Stereotypes,"they are always alert and always looking ahead, so being reactive is not your style."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This role is especially suitable for those who are analytically strong and want to put a direct value on the performance of the business.,analytically,Behavioural Stereotypes,This role is especially suitable for those who are analytically strong and want to put a direct value on the performance of the business.
"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O",Demonstrating an understanding and an understanding of the .,understanding understanding,"Behavioural Stereotypes, Behavioural Stereotypes",Demonstrating an <mask> and an <mask> of the .
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We’re looking for an outstanding UX person who is intuitive and naturally empathetic about people to formally join our multi-disciplinary UX Community here at M ;S.,empathetic,Behavioural Stereotypes,We’re looking for an outstanding UX person who is intuitive and naturally empathetic about people to formally join our multi-disciplinary UX Community here at M ;S.
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","you are ready for an ambitious and empathetic problem solver to press the front on ensuring the success of our community of over 50,000 brands and manufacturers.",ambitious empathetic,"Behavioural Stereotypes, Behavioural Stereotypes","you are ready for an ambitious and empathetic problem solver to press the front on ensuring the success of our community of over 50,000 brands and manufacturers."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","have you a c ##ball superstar with analytical chops, a deep intuitive understanding of user experience, and the ability to learn new skills and knowledge on the fly?",analytical understanding,"Behavioural Stereotypes, Behavioural Stereotypes","have you a c ##ball superstar with analytical chops, a deep intuitive understanding of user experience, and the ability to learn new skills and knowledge on the fly?"
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","there you will identify key contacts, persistently interviewing them to suggest they consider updates and Blippar as part of their current business strategy.",persistently,Behavioural Stereotypes,"there you will identify key contacts, persistently interviewing them to suggest they consider updates and Blippar as part of their current business strategy."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",the members of our community use their influencing and relationship-building skills to persistently explore and meet the business needs of our clients.,persistently,Behavioural Stereotypes,the members of our community use their influencing and relationship-building skills to persistently explore and meet the business needs of our clients.
"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","the client is actively seeking a more friendly, polite, presentable front Desk Receptionist with strong personality and leadership skills.","actively polite,","Behavioural Stereotypes, Behavioural Stereotypes","the client is actively seeking a more friendly, polite, presentable front Desk Receptionist with strong personality and leadership skills."
"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O","a client is actively seeking a very generally polite, presentable Front door Receptionist with strong interpersonal and people skills.","actively polite, interpersonal","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","a client is actively seeking a very generally polite, presentable Front door Receptionist with strong interpersonal and people skills."
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Storesupport canada is growing and we are looking for highly efficient  ; independent access to the Territories in all major city centres throughout Canada.,Storesupport,Behavioural Stereotypes,Storesupport canada is growing and we are looking for highly efficient  ; independent access to the Territories in all major city centres throughout Canada.
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Storesupport ##ing is expanding and we are searching for highly qualified  ; independent consultants to remote Territories in all major city centres throughout Canada.,Storesupport,Behavioural Stereotypes,Storesupport ##ing is expanding and we are searching for highly qualified  ; independent consultants to remote Territories in all major city centres throughout Canada.
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","you will be emotionally intelligent, and able to develop the strong relationships that make you feel confident about working with GrantTree.","emotionally intelligent,","Behavioural Stereotypes, i-Behavioural Stereotypes","you will be emotionally intelligent, and able to develop the strong relationships that make you feel confident about working with GrantTree."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",greet customers warmly and ascertain problem or reason for calling.,warmly,Behavioural Stereotypes,greet customers warmly and ascertain problem or reason for calling.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Job Responsibilities include but is not limited to:      greet callers , and ascertain why or reason for calling.",Responsibilities,Behavioural Stereotypes,"Job Responsibilities include but is not limited to:      greet callers , and ascertain why or reason for calling."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Job description includes but is not sufficient to:      Greet people warmly and address problem or reason for calling.,,,Job description includes but is not sufficient to:      Greet people warmly and address problem or reason for calling.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",their Responsibilities includes but is not sufficient to:      Greet callers warmly and ascertain intent or reason for calling.,Responsibilities,Behavioural Stereotypes,their Responsibilities includes but is not sufficient to:      Greet callers warmly and ascertain intent or reason for calling.
"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","be totally Honest – Totally Kind . you work and live with your integrity, accountability, and compassion.",Honest Kind compassion.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","be totally Honest – Totally Kind . you work and live with your integrity, accountability, and compassion."
"O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","the partners will be goal-driven, analytically-minded, focused on lead generation, experienced and experienced in international .","goal-driven, lead","Behavioural Stereotypes, Behavioural Stereotypes","the partners will be <mask> analytically-minded, focused on <mask> generation, experienced and experienced in international ."
"O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","these managers would be goal-driven, analytically-minded, keen on lead generation, enthusiastic and experienced in international sales.","goal-driven, lead","Behavioural Stereotypes, Behavioural Stereotypes","these managers would be goal-driven, analytically-minded, keen on lead generation, enthusiastic and experienced in international sales."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O",its philosophy encourages us to be as independent as ourselves while supporting independence and encouraging community integration.,independent supporting independence,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",its philosophy encourages us to be as independent as ourselves while supporting independence and encouraging community integration.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","improve the  Ability to communicate effectively and politely with co-workers, managers, customers, and owners.",,,"improve the  Ability to communicate effectively and politely with co-workers, managers, customers, and owners."
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","members have the professional experience needed to communicate successfully with the Principle Investigators, Study Coordinator, and CRO.",Principle,Behavioural Stereotypes,"members have the professional experience needed to communicate successfully with the Principle Investigators, Study Coordinator, and CRO."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O","students have a management , an ethical mindset, as well as a pro-active and self driven attitude.",pro-active self driven,"Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes","students have a management , an ethical mindset, as well as a pro-active and self driven attitude."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O",members have project managers with an analytical/data-driven attitude as well as a pro-active and self driven attitude.,analytical/data-driven pro-active self driven,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes",members have project managers with an analytical/data-driven attitude as well as a pro-active and self driven attitude.
"Behavioural Stereotypes,O,O",,COMPETETIVE,Behavioural Stereotypes,<mask> in ;
"Behavioural Stereotypes,O,O",,COMPETETIVE,Behavioural Stereotypes,<mask> capital |
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","the company takes a combination of marketing , analyical brains and pure hustle to bring a new brand to life quickly.",analyical brains,"Behavioural Stereotypes, i-Behavioural Stereotypes","the company takes a combination of marketing , analyical brains and pure hustle to bring a new brand to life quickly."
